"SYMBOL","logFC","adj.P.Val","GENENAME"
"SULF1",3.68940573584615,1.31374223673571e-19,"sulfatase 1"
NA,5.18466532902564,9.65380669551326e-19,NA
"COL10A1",5.04744186607692,1.32831708403015e-18,"collagen type X alpha 1 chain"
"INHBA",3.93483220435897,3.37979259485158e-18,"inhibin subunit beta A"
"FN1",3.59053176194872,4.78581070340874e-18,"fibronectin 1"
"NOX4",3.02767058505128,4.78581070340874e-18,"NADPH oxidase 4"
"VCAN",3.9252397625641,1.14856072634221e-17,"versican"
"THBS2",3.98457919335897,1.25806924213565e-17,"thrombospondin 2"
"CAPG",2.23018436282051,1.74429751087484e-16,"capping actin protein, gelsolin like"
"FAP",3.38881048505128,1.76974568132662e-16,"fibroblast activation protein alpha"
"AEBP1",2.70716438074359,2.36314752985161e-16,"AE binding protein 1"
"COL1A2",4.19573736169231,2.52045396650865e-16,"collagen type I alpha 2 chain"
"COL1A1",4.2508217467436,2.68597704805092e-16,"collagen type I alpha 1 chain"
"TIMP1",3.08903445574359,3.52323164825473e-16,"TIMP metallopeptidase inhibitor 1"
"COL5A2",3.44422932451282,4.20883438648732e-16,"collagen type V alpha 2 chain"
"LTBP1",1.86951948579487,7.8761388634437e-16,"latent transforming growth factor beta binding protein 1"
"SRPX2",2.47287598882051,8.92144345413278e-16,"sushi repeat containing protein X-linked 2"
"LOXL1",2.33752289530769,1.14893704467012e-15,"lysyl oxidase like 1"
"COL5A1",3.49401226579487,1.38240670543718e-15,"collagen type V alpha 1 chain"
"MYOF",2.31380532541026,1.49911665548674e-15,"myoferlin"
"DACT1",2.39802969174359,1.66496044283509e-15,"dishevelled binding antagonist of beta catenin 1"
"TPBG",1.65545206430769,2.43261674176797e-15,"trophoblast glycoprotein"
"EDNRA",3.31230819364103,3.14844707975393e-15,"endothelin receptor type A"
"COL6A3",2.74867636389743,3.3286186023237e-15,"collagen type VI alpha 3 chain"
"ITGB5",1.4542784805641,3.4863337136024e-15,"integrin subunit beta 5"
"COL11A1",4.41625422889744,4.13409416994647e-15,"collagen type XI alpha 1 chain"
"BGN",2.29437432833333,5.5579351725313e-15,"biglycan"
"VGLL4",1.00771702776923,5.60200535658903e-15,"vestigial like family member 4"
"ANO1",2.97053176071795,6.04688815537588e-15,"anoctamin 1"
"IGFBP5",2.66672651807693,7.7016239535153e-15,"insulin like growth factor binding protein 5"
"COL3A1",3.29360301241026,8.0484074845533e-15,"collagen type III alpha 1 chain"
"POSTN",5.12461146325641,8.20999085233495e-15,"periostin"
"MFAP2",1.98820648617949,1.02389355708949e-14,"microfibril associated protein 2"
"MXRA8",1.71813186243589,1.17648349452826e-14,"matrix remodeling associated 8"
"FZD2",1.29394510202564,1.24265897826987e-14,"frizzled class receptor 2"
"THY1",1.9550100026923,1.2484182947555e-14,"Thy-1 cell surface antigen"
"COMP",3.57453998489744,1.60234201265181e-14,"cartilage oligomeric matrix protein"
"COL8A1",2.0865994824359,1.60234201265181e-14,"collagen type VIII alpha 1 chain"
"S100A11",2.09390152774359,1.98795779326065e-14,"S100 calcium binding protein A11"
"NREP",2.15124006220513,2.36394596469388e-14,"neuronal regeneration related protein"
"CDH11",2.34594789192307,2.4709157672289e-14,"cadherin 11"
"RUNX1",2.26275799838461,2.68642660078174e-14,"RUNX family transcription factor 1"
"LOC100506403",2.26275799838461,2.68642660078174e-14,"uncharacterized LOC100506403"
"OLFML2B",2.96175761833334,2.76112771183733e-14,"olfactomedin like 2B"
"SPOCK1",2.22614255438461,2.78849425490488e-14,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
"SLPI",2.67459132369231,2.78849425490488e-14,"secretory leukocyte peptidase inhibitor"
"NT5DC2",1.64421047835898,4.51711647200284e-14,"5'-nucleotidase domain containing 2"
"NOTCH3",1.599142069,5.00385896958925e-14,"notch receptor 3"
"IRS1",1.2810088388718,5.45379546381751e-14,"insulin receptor substrate 1"
"PDGFRB",1.79856182646154,5.75697730247405e-14,"platelet derived growth factor receptor beta"
"MXRA5",2.38762669984615,6.58508179940348e-14,"matrix remodeling associated 5"
"DKK3",1.9234174605641,7.45194625513521e-14,"dickkopf Wnt signaling pathway inhibitor 3"
"SPON2",1.79335892684616,7.65638401091549e-14,"spondin 2"
"RAB31",2.76051557684615,8.15588604422573e-14,"RAB31, member RAS oncogene family"
"MFGE8",1.22134046097436,8.89356470011267e-14,"milk fat globule EGF and factor V/VIII domain containing"
"LY6E",1.55464196205128,9.02678051976551e-14,"lymphocyte antigen 6 family member E"
"MICAL2",1.54440848971795,9.33810215315025e-14,"microtubule associated monooxygenase, calponin and LIM domain containing 2"
"ETV1",2.30344629902564,9.64832998612459e-14,"ETS variant transcription factor 1"
"SLC24A3",1.78043665735897,9.64868919084541e-14,"solute carrier family 24 member 3"
"SPARC",3.00860647523077,1.03586697088794e-13,"secreted protein acidic and cysteine rich"
"OLR1",2.99889050674359,1.05322071598785e-13,"oxidized low density lipoprotein receptor 1"
"TGM2",2.22852210479487,1.12621343355075e-13,"transglutaminase 2"
"ACTN1",1.49635578948718,1.13276944316839e-13,"actinin alpha 1"
"TREM2",1.58659124302564,1.1468925523027e-13,"triggering receptor expressed on myeloid cells 2"
"ISLR",2.44669110889743,1.1715707826718e-13,"immunoglobulin superfamily containing leucine rich repeat"
"KRT7",3.10730416541026,1.30946725217451e-13,"keratin 7"
"PLXDC2",1.92857761061539,1.41096014674426e-13,"plexin domain containing 2"
"SERPINH1",2.0264044484359,1.50749639280266e-13,"serpin family H member 1"
"COL16A1",1.51830026005128,1.59186599345194e-13,"collagen type XVI alpha 1 chain"
"PLXDC1",1.91850487930769,1.63601694184517e-13,"plexin domain containing 1"
"SOX4",1.71825208792308,1.65451630405144e-13,"SRY-box transcription factor 4"
"GPRC5A",2.71073028025641,1.73025767071055e-13,"G protein-coupled receptor class C group 5 member A"
"ANXA2",1.44215339951281,1.73025767071055e-13,"annexin A2"
"LAMC2",2.76409390510256,1.75824433382646e-13,"laminin subunit gamma 2"
"ANXA2P2",1.26456708130769,1.87190121221924e-13,"annexin A2 pseudogene 2"
"COL8A2",1.99558689192308,2.48129084039656e-13,"collagen type VIII alpha 2 chain"
"MMP2",2.53058142717949,2.67001485194925e-13,"matrix metallopeptidase 2"
"AHNAK2",2.53976183630769,2.75212150045562e-13,"AHNAK nucleoprotein 2"
"DIO2",1.38033909205128,2.77983577764238e-13,"iodothyronine deiodinase 2"
"CTSK",2.61423966833333,2.94627650697753e-13,"cathepsin K"
"ITGBL1",3.44943376820513,3.64740026992869e-13,"integrin subunit beta like 1"
"ACVR1",1.50544260005128,4.15177750301759e-13,"activin A receptor type 1"
"CST1",3.34647655053846,4.2759241796885e-13,"cystatin SN"
"MPZL1",1.00361880430769,4.46237937193309e-13,"myelin protein zero like 1"
"TNFRSF21",1.69518796371795,6.27114923907786e-13,"TNF receptor superfamily member 21"
"TNFSF4",1.56950389451282,6.36741808275518e-13,"TNF superfamily member 4"
"POGLUT2",1.86816250474359,6.59658959327863e-13,"protein O-glucosyltransferase 2"
"KRT17",2.45586010551282,6.743604752581e-13,"keratin 17"
"ANOS1",2.00060492451282,7.68991645154125e-13,"anosmin 1"
"NTM",1.65400300158974,8.13436650702964e-13,"neurotrimin"
"MAP4K4",1.34872578797436,9.48652719065523e-13,"mitogen-activated protein kinase kinase kinase kinase 4"
"GPNMB",2.43979090946154,1.00763380863734e-12,"glycoprotein nmb"
"HOXB7",1.2670413234359,1.06918522561819e-12,"homeobox B7"
"PKM",1.53410463358975,1.15307418137442e-12,"pyruvate kinase M1/2"
"HOXB2",1.69024456474359,1.15307418137442e-12,"homeobox B2"
"HOPX",3.11153624174359,1.27146304066707e-12,"HOP homeobox"
"IGFBP3",2.4936832984359,1.27689160515306e-12,"insulin like growth factor binding protein 3"
"STEAP1",2.2219705931282,1.30891805057157e-12,"STEAP family member 1"
"RARRES1",3.30493527707692,1.3570166076982e-12,"retinoic acid receptor responder 1"
"TRIO",1.28007123866667,1.46742080115381e-12,"trio Rho guanine nucleotide exchange factor"
"PDPN",1.95888140035898,1.503602057213e-12,"podoplanin"
"NUAK1",1.6424663645641,1.56064139239283e-12,"NUAK family kinase 1"
"F2R",2.29559355866667,1.63390624563932e-12,"coagulation factor II thrombin receptor"
"ANTXR1",1.49081538866667,1.82537216897089e-12,"ANTXR cell adhesion molecule 1"
"CALU",1.1909933518718,1.89678947579333e-12,"calumenin"
"LAMP5",2.23697556120513,2.16228700785434e-12,"lysosomal associated membrane protein family member 5"
"ASPN",2.26366380405128,2.28790380996893e-12,"asporin"
"FGD6",1.47405105482051,2.37293672955797e-12,"FYVE, RhoGEF and PH domain containing 6"
"TMEM204",1.5592084361282,2.40416776368188e-12,"transmembrane protein 204"
"SQLE",1.56953767523077,2.59288148154484e-12,"squalene epoxidase"
"AMIGO2",1.85829455294872,2.79013594537947e-12,"adhesion molecule with Ig like domain 2"
"MOXD1",2.30241455023077,2.96907466664154e-12,"monooxygenase DBH like 1"
"ITGA2",1.38190766764103,3.03117479359682e-12,"integrin subunit alpha 2"
"LRRC32",1.39984017925641,3.35220921560941e-12,"leucine rich repeat containing 32"
"COL4A1",2.35789759351282,3.39395432897003e-12,"collagen type IV alpha 1 chain"
"PHLDA2",2.84972941430769,3.45928204774999e-12,"pleckstrin homology like domain family A member 2"
"ZC2HC1A",1.18367892341026,3.63630484930944e-12,"zinc finger C2HC-type containing 1A"
"FBN1",2.7266446105641,3.66849673108467e-12,"fibrillin 1"
"SMYD3",1.15434317094872,3.95175559618609e-12,"SET and MYND domain containing 3"
"CSGALNACT2",1.78694528753846,4.00295764530551e-12,"chondroitin sulfate N-acetylgalactosaminyltransferase 2"
"HSPG2",1.0804452725641,4.24436751761945e-12,"heparan sulfate proteoglycan 2"
"LOX",3.08976983697436,4.55604846065397e-12,"lysyl oxidase"
"MRC2",1.38586244376923,4.66839518321126e-12,"mannose receptor C-type 2"
"MYO1E",1.24030964379487,4.80480050614727e-12,"myosin IE"
"SFRP4",3.45555498402564,4.80480050614727e-12,"secreted frizzled related protein 4"
"LXN",2.05045766105128,5.17700936996635e-12,"latexin"
